category,name,sku,description,price,availability,image_url
,Гідромотор  BM4U-160P33A4Y/T7,MI0040383,Pmax: 200 bar; M: 450 Hm; Об.: 625 Rpm,"387,31",,
,Гідромотор  BMH-400P7AIVY,MI0040379,Pmax: 140 bar; M: 825 Hm; Об.: 180 Rpm,"196,32",,
,Гідромотор  BMH-500P1AIVY,MI0040380,Pmax: 120 bar; M: 720 Hm; Об.: 155 Rpm,"201,61",,
,Гідромотор  BMH-500P7AIVY,MI0040381,Pmax: 120 bar; M: 720 Hm; Об.: 155 Rpm,"184,76",,
,Гідромотор ALSG3-160-R4-C32 (21003346),21003346,Pmax: 150 bar; M: 316 Hm; Rpm: 470 об/хв,"186,43",,
,Гідромотор BM3-100P10AY/T11,MI0014886,Pmax: 205 bar; M: 282 Hm; Об.: 745 Rpm,"199,34",,
,Гідромотор BM3-80P10AY/T11,MI0014885,Pmax: 205 bar; M: 226 Hm; Об.: 805 Rpm,"201,59",,
,Гідромотор BM3WY-315ZAY/T11,MI0014895,Pmax: 200 bar; M: 870 Hm; Об.: 230 Rpm,"255,26",,
,Гідромотор BM3Y-125K13AY/T11,MI0032209,Pmax: 205 bar; M: 355 Hm; Об.: 590 Rpm,"217,54",,
,Гідромотор BM3Y-125P10AY/T11,MI0014887,Pmax: 205 bar; M: 355 Hm; Об.: 590 Rpm,"206,5",,
,Гідромотор BM3Y-160P10AY/T11,MI0014888,Pmax: 205 bar; M: 451 Hm; Об.: 465 Rpm,"211,42",,
,Гідромотор BM3Y-200P10AY/T11,MI0014889,Pmax: 205 bar; M: 564 Hm; Об.: 370 Rpm,"216,32",,
,Гідромотор BM3Y-250P10AY/T11,MI0014891,Pmax: 200 bar; M: 684 Hm; Об.: 295 Rpm,"201,77",,
,Гідромотор BM3Y-315P10AY/T11,MI0014892,Pmax: 200 bar; M: 870 Hm; Об.: 230 Rpm,"221,24",,
,Гідромотор BM3Y-400K23AY/T11,MI0044118,Не Mozioni Pmax: 155 bar; M: 813 Hm; Об.: 185 Rpm,"214,68",,
